PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Permeability,Analysis Comment
157,24410177,16031229,C1CN(CCN1C2=CC=CC=C2)S(=O)(=O)C3=CN=C(N=C3)N,Inactive,7,,,Low,6.73,class = 1
158,24410653,16031687,CC1=C(C=CC=C1Cl)NC(=O)CNS(=O)(=O)C2=CC=CS2,Active,100,,,High,458.11,class = 0
159,24410732,16031764,CC1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)N(C(=O)C=C3)CC(=O)NCC4=CC=C(C=C4)Cl,Active,100,,,High,828.1,class = 0
160,24410855,7080326,CC1=C(N=C2N1C=CC=N2)C3=CC(=CC=C3)NC(=O)C4=CC(=C(C=C4)F)F,Active,100,,,High,710.11,class = 0
161,24411542,16032111,C1=CC=C(C=C1)OCC(=O)NCC(C2=CC=CS2)S(=O)(=O)C3=CC=C(C=C3)Cl,Active,100,,,High,855.37,class = 0
162,24411547,4705986,CN(C)CCCN1C(C2=C(C1=O)OC3=C(C2=O)C=C(C=C3)Cl)C4=CC(=C(C=C4)OC)OC,Inactive,8,,,Low,7.76,class = 1
163,24412196,7287095,CC1=C(SC2=NC(=NN12)C3=CC=C(C=C3)OC)CCNC(=O)C(C)(C)C,Active,100,,,High,657.26,class = 0
164,24412895,16033040,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)C3=CC=NC=C3,Active,100,,,High,753.95,class = 0
165,24412997,16033135,C1CCN(CC1)C2CCN(CC2)C3=C(C=C(C=C3)NC(=O)C4=CC=C(C=C4)Br)C(=O)O,Inactive,7,,,Low,7.15,class = 1
166,24413059,16033196,CCCCNC(=O)CN1CCN(CC1)C2=C(C=C(C=N2)NC(=O)C3=CC=C(C=C3)Cl)C(=O)O,Inactive,2,,,Low,1.92,class = 1
167,24413540,16033636,CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)SC4=CC=CC=C4C(=O)N3C5CCCC5,Active,100,,,High,510.8,class = 0
168,24414107,16033831,CC1=CC(=CC=C1)CN2C3=C(C4=C(S3)CN(CC4)C(=O)C)C(=O)N(C2=O)C5=CC=CC=C5Cl,Active,100,,,High,686.93,class = 0
169,24414133,16033843,CC1=C(C=CC=C1Cl)N2C(=O)C3=C(N(C2=O)CC4=CC(=CC=C4)OC)SC5=C3CCN(C5)C(=O)C,Active,100,,,High,>1000,class = 0
170,24414158,4189771,CC1=C(C(=NN1)C)CCC2=NN3C(=N2)C4=CC=CC=C4N=C3SCC(=O)NC5=CC=C(C=C5)F,Active,100,,,High,382.67,class = 0
171,24414166,4640646,CCC(C(=O)NC1=CC=C(C=C1)F)SC2=NC3=CC=CC=C3C4=NC(=NN42)CCC5=C(NN=C5C)C,Active,100,,,High,205.02,class = 0
172,24414195,4107705,CCC1=CC=CC=C1NC2=C3C=NN(C3=NC=N2)C4=CC=C(C=C4)Cl,Active,100,,,High,100,class = 0
173,24414538,16033976,CC1=C(C=C(C=C1)N2C3=NC=NC(=C3C=N2)NCCCN4C=CN=C4)Cl,Active,100,,,High,558.87,class = 0
174,24416135,135437057,CCC1=CC=CC=C1N2C(=N)C3=C(NN=C3N=C2SCC(=O)NC4=CC=C(C=C4)C)C,Active,100,,,High,>1000,class = 0
175,24416313,16034384,COC1=CC(=CC(=C1)NC(=O)CN2C3=C(C=C(C=C3)S(=O)(=O)N4CCCCCC4)OC2=O)OC,Active,100,,,High,372,class = 0
176,24416441,16034426,CCOC1=CC=C(C=C1)C2C3=C(C(=O)N2CCCN(C)C)OC4=C(C3=O)C=C(C=C4)C,Active,30,,,Moderate,29.58,class = 0
177,24416554,3136596,CC1=CC=C(C=C1)NC(=O)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC(=C(C=C3)OC)OC,Active,100,,,High,662.98,class = 0
178,24417129,5300038,C1CN2CCC1C3=C2C=C4C(=C(SC4=N3)C(=O)NC5=CC=CC(=C5)C#N)N,Active,100,,,High,285.4,class = 0
179,24417337,16034817,CC1=CC2=C(C=C1)OC3=C(C2=O)C(N(C3=O)CCCN4CCOCC4)C5=CC(=C(C=C5)OC)OC,Active,19,,,Moderate,19.21,class = 0
180,24417443,7312224,CCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)C(=O)OCC,Inactive,2,,,Low,1.84,class = 1
181,363676592,392622,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,Active,100,,,High,843.83,class = 0
182,29215515,123767,C1CCC(C(=O)C1)(C2=CC=CC=C2Cl)N,Active,11,,,Moderate,11.11,class = 0
183,29215522,9872740,C[C@H](CNC(C)(C)CC(=O)N[C@@H]1CCC2=CC=CC=C2N(C1=O)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)O,Inactive,6,,,Low,5.85,class = 1
184,170465938,16351,CN1CCN(CC1)C2=NC3=CC=CC=C3SC4=C2C=C(C=C4)Cl,Active,100,,,High,886.96,class = 0
185,170466638,65776,CC1=C(N(C2=C1C=C(C=C2)C(=O)OCCN(C)C)CC3=CC=CC=C3)C,Active,100,,,High,>1000,class = 0
186,144205424,5708341,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC(=C1)/C=C/C3=CC=CC=C3Cl)Cl,Active,83,,,Moderate,82.94,class = 0
187,144205434,68363,CCOC1=CC(=CC(=C1OCC)OCC)C2=NC=CC3=CC(=C(C=C32)OC)OC,Active,100,,,High,>1000,class = 0
188,26754698,5283451,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)NCCO,Active,20,,,Moderate,19.5,class = 0
189,170466591,6917728,CCC1=CC(=C(C(=C1O)C(=O)NC[C@@H]2CCCN2CC)OC)Cl.Cl,Active,100,,,High,899.17,class = 0
190,90340867,33036,CN(C)CC[C@@H](C1=CC=C(C=C1)Cl)C2=CC=CC=N2,Active,83,,,Moderate,82.5,class = 0
191,50111292,128563,CC(=O)O[C@H]1C[C@H]([C@@]2(CC[C@H]3C(=O)O[C@@H](C[C@@]3([C@H]2C1=O)C)C4=COC=C4)C)C(=O)OC,Active,100,,,High,380.65,class = 0
192,174007039,72303,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,Active,100,,,High,446.17,class = 0
193,384568257,104850,CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl,Active,100,,,High,>1000,class = 0
194,404904684,5329102,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,Active,54,,,Moderate,53.87,class = 0
195,384568294,10474335,COC1=CC=CC2=C1CCCC2CCCN3CCN(CC3)C4CCCCC4,Active,100,,,High,777,class = 0
196,384568319,208908,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,Active,70,,,Moderate,69.7,class = 0
197,384568321,3081361,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,Active,97,,,Moderate,97.29,class = 0
198,384568324,636411,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=CC(=N3)OC,Active,50,,,Moderate,49.75,class = 0
199,90341833,11224758,CSC1=CC=CC=C1N2CCN(CC2)CCCCCC(=O)NC3CCCC4=CC=CC=C34,Active,100,,,High,627.93,class = 0
200,124893357,540335,CN1CCN(CC1)C2=CC=C(C=C2)NC3=C4C=CC=CC4=NC5=CC=CC=C53,Inactive,4,,,Low,3.75,class = 1
201,124398492,619526,C1=CC2=C(C=C1Cl)NC(=O)C3=CSC=C3N2,Active,63,,,Moderate,63.34,class = 0
202,363676681,11219835,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F,Active,100,,,High,891.55,class = 0
203,363676921,428373,CCC(C)C1C(=O)N(C(C(=O)N(C(C(=O)NCCC(=O)OC(C(=O)N2CCCC2C(=O)N1)CC(C)C)C)C)C(C)C)C,Active,74,,,Moderate,74,class = 0
204,50124081,72287,C[C@@H](CN1C2=CC=CC=C2SC3=C1C=C(C=C3)OC)CN(C)C,Active,100,,,High,722.7,class = 0
205,170465871,92178,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C.CS(=O)(=O)O.CS(=O)(=O)O,Active,100,,,High,730.49,class = 0
206,50125355,24871224,CC[C@H]1CN2CCC3CC(C(CC3[C@@H]2C[C@@H]1C[C@@H]4C5=C(CCN4)CC(=C(C5)OC)O)OC)OC,Active,18,,,Moderate,17.93,class = 0
207,57288372,25181364,C1=CNC(=O)C(=C1C2=CC=NC=C2)N,Inactive,3,,,Low,2.72,class = 1
208,57288373,25181365,C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,Active,77,,,Moderate,76.76,class = 0
209,57288374,25181366,CN(C)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,Active,100,,,High,170.53,class = 0
210,384568407,24180125,C1CN(CCN1)CC2=CSC3=NC(=CN23)C4=CC=CC=C4NC(=O)C5=NC6=CC=CC=C6N=C5,Active,100,,,High,342.03,class = 0
211,170466021,2515,CCN(CC(C)O)C1=NN=C(C=C1)NNC(=O)OCC,Inactive,9,,,Low,8.57,class = 1
212,170465934,5736,CN(C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Active,100,,,High,857.48,class = 0
213,124893814,3136131,CCC(=O)NC(C1=CC=C(C=C1)OC)C2=CC(=C3C=CC=NC3=C2O)Cl,Inactive,6,,,Low,5.75,class = 1
214,89650062,44825271,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC=CC=C4F,Active,100,,,High,450.78,class = 0
215,89650099,44142144,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC5=CC=CC=C5O4,Active,53,,,Moderate,52.83,class = 0
216,144206868,27901,CN1CCC(CC1)N(CC2=CC=CS2)C3=CC=CC=C3,Active,100,,,High,253.95,class = 0
217,85267871,3915663,CC1=CC=C(C=C1)CNCC2=C(NN=C2)C3=CC=C(C=C3)C,Active,100,,,High,410,class = 0
218,363677104,656668,CC1=C([C@H](C(=C(N1)C)C(=O)O[C@@H]2CCCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC,Active,100,,,High,>1000,class = 0
219,103061604,49787093,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NN4C(=O)C5=CC=CC=C5N=C4S3,Inactive,6,,,Low,5.91,class = 1
220,99367964,46907663,C1CN(CCC1C(=O)N)C2=NC=CC(=N2)C3=CC4=C(C=C3)OCCO4,Active,100,,,High,190.7,class = 0
221,99367978,46907687,CCOC(=O)C1CCN(CC1)C2=NC=C(S2)C3=CC4=C(C=C3)OCCCO4,Active,100,,,High,>1000,class = 0
222,99367980,46907666,C1COC2=C(C=C(C=C2)C3=CN=C(S3)N4CCC(CC4)C(=O)O)OC1,Active,100,,,High,>1000,class = 0
223,104224268,49853131,CC1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=CC=C(C=C3)N,Inactive,4,,,Low,4.13,class = 1
224,104224270,701529,C1=CC=C(C=C1)CCN2C3=CC=CC=C3NC2=S,Active,100,,,High,903.08,class = 0
225,385842039,25256849,CC(C(C)(C)C)NCC1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=CC=C(S3)C4=CNN=C4)CC(C)(C)O,Inactive,4,,,Low,4.16,class = 1
226,87915648,44634872,CC1=C(C=C(C=C1)Cl)NS(=O)(=O)C2=C(C=C3C(=C2)CCC(=O)N3)F,Active,100,,,High,616.9,class = 0
227,87915649,44634868,CC1=C(C=CC(=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC(=O)CC3)F,Active,100,,,High,462.83,class = 0
228,87915650,7601970,C1CC(=O)NC2=C1C=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3)F)Cl,Active,100,,,High,662.78,class = 0
229,384568456,10127622,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,Active,100,,,High,150.97,class = 0
230,103061644,49787080,CN(C)[C@@H]1CCN(C1)C2=CC=CC(=C2)NC3=NN4C(=O)C5=CC=CC=C5N=C4S3,Active,25,,,Moderate,24.87,class = 0
231,104224471,49853213,C1CNCCC1C2=CC=C(C=C2)NCC3=CC=C(O3)C4=CC=C(C=C4)C#N,Active,100,,,High,236.42,class = 0
232,99431346,46926065,CC1=C(C(N=C(N1)NC2=NC3=CC=CC=C3O2)C4=C(C=NN4)Cl)C(=O)NC5=NC6=CC=CC=C6S5,Active,16,,,Moderate,15.6,class = 0
233,124948829,45166426,CC1=CN=C(N=C1C2CCCN(C2)C(=O)C3=C4CCCCC4=CS3)SCC5=CC=CC=N5,Active,100,,,High,>1000,class = 0
234,124949023,45166656,CC(COC)NCC1=C(N=C2C=C(C=CC2=C1)OC)N3CCN(CC3)C4=CC=C(C=C4)F,Active,100,,,High,576.43,class = 0
235,104224537,49852898,CN1CCN(CC1)C2=CC3=C(C=CC(=C3N=C2)O)C(=O)OC,Active,80,,,Moderate,80.08,class = 0
236,377020233,3038525,C1=CC(=C(C(=C1)Cl)C2=C3C=CC(=NN3C=NC2=O)SC4=C(C=C(C=C4)F)F)Cl,Active,100,,,High,792.9,class = 0
237,99460846,46947861,CCOC1=C(C=C(C=C1)CCNC(=O)C2=CC3=CC=CC=C3N2C)OCC,Active,100,,,High,>1000,class = 0
238,99460863,46947870,CCOC1=C(C=C(C=C1)CCNC(=O)C2=CC=CC(=C2)C(=O)C3=CC=CC=C3)OCC,Active,100,,,High,>1000,class = 0
239,144206383,13493,CCN(CC)CCN1C2=C(C=C(C=C2)[N+](=O)[O-])N=C1CC3=CC=C(C=C3)OCC,Active,100,,,High,285.07,class = 0
240,161003880,4620214,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Active,100,,,High,>1000,class = 0
241,144116857,60167830,C1=CC=C(C(=C1)C2=NC3=CC=CC=C3C(=N2)NCC4=CC=C(C=C4)C5=CN=CC=C5)C(F)(F)F,Active,100,,,High,711.6,class = 0
242,144116891,60167877,CC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=C(C=C4)C5=CN=CC=C5,Active,100,,,High,>1000,class = 0
243,144116899,60167920,CC(C)C1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=C(C=C4)C5=CN=CC=C5,Active,100,,,High,>1000,class = 0
244,144116904,60167825,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=CC=C3F)NCC4=CC=C(C=C4)C5=CN=CC=C5,Active,100,,,High,>1000,class = 0
245,134225117,56593345,CCOC1=CC=CC=C1C(=O)NC2=C(C=NC=C2)C(=O)NC3=CC(=CC=C3)S(=O)(=O)C(F)(F)F,Active,100,,,High,139.03,class = 0
246,134225118,56593309,CCOC1=CC=CC=C1C(=O)NC2=C(C=CC=N2)C(=O)NC3=CC(=CC=C3)S(=O)(=O)C(F)(F)F,Active,100,,,High,656.29,class = 0
247,144116910,60167932,CC(C)C1=CC=CC=C1C2=NC3=C(CNC3)C(=N2)NCC4=CC=C(C=C4)C5=CN=CC=C5,Active,99,,,Moderate,98.67,class = 0
248,144116917,60167795,COC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=C(C=C4)C5=CN=CC=C5,Active,100,,,High,726.8,class = 0
249,384568539,10077147,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I,Active,100,,,High,233.72,class = 0
250,384568558,25022668,C1CCC(C1)C2=C(C=CC(=C2)C3=CNC4=C3C=C(C=N4)C5=CC=CC=C5)C(=O)O,Active,100,,,High,400.29,class = 0
251,144116927,60167883,CC1=NC=C(C=C1)C2=CC=C(C=C2)CNC3=NC(=NC4=CC=CC=C43)C5=CC=CC=C5C(C)C,Active,100,,,High,857.48,class = 0
252,384568572,60167849,CC1=CN=C(N=C1NCC2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4C(C)C,Active,100,,,High,663.04,class = 0
253,160844121,70701462,CNC1=C(N=C(O1)C2=C(C(=CC=C2)Cl)Cl)C#N,Active,100,,,High,589.39,class = 0
254,384568599,178024,CC(C)(C(=O)N[C@H](COCC1=CC=CC=C1)C(=O)N2CCC3(CC2)CN(C4=CC=CC=C34)S(=O)(=O)C)N,Active,28,,,Moderate,27.54,class = 0
255,363677239,22049997,CC1=C(C=C(C=C1)C(=O)NC)N2C(=CC(=C(C2=O)Br)OCC3=C(C=C(C=C3)F)F)C,Active,100,,,High,627.1,class = 0
256,363677269,57519531,C[C@@]1(CN(C[C@@]1(C)CO)C2=NC=C(C(=C2)C(=O)NC3=CC4=C(CCC5=C4N(N=C5C(=O)N)C6=CC=C(C=C6)F)C=C3)Cl)CO,Active,46,,,Moderate,45.61,class = 0
257,404904703,49836027,CCC(=O)N1CCN(CC1)C2=C(C=C(C=C2)N3C(=O)C=CC4=CN=C5C=CC(=CC5=C43)C6=CC7=CC=CC=C7N=C6)C(F)(F)F,Active,100,,,High,536.52,class = 0
258,363677296,70701426,COC1=CC=CC(=C1O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC4=CC=CC=C4S3,Active,100,,,High,392.64,class = 0
259,170465287,64722,CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24.Cl,Active,100,,,High,>1000,class = 0
260,384568708,9968854,C1COCCN1CC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)N)NC(=O)N,Inactive,1,,,Low,1.19,class = 1
261,363677311,4823,CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC,Active,100,,,High,232.2,class = 0
262,384568713,71668132,C1CN(CCN1)C2=CC(=O)N3C(=N2)SC(=N3)C4=CC(=CN=C4)NC(=O)CN,Inactive,1,,,Low,1.07,class = 1
263,377660805,1497027,CC1=C(C=C(C=C1)C(=O)NC2=CC3=C(C=C2)OC(=N3)C4=CN=CC=C4)[N+](=O)[O-],Active,100,,,High,693.35,class = 0
264,377714310,3614652,CC1=CC=C(C=C1)S(=O)(=O)NC2=NC3=C(C=C(C=C3)C)N=C2NC4=CC5=C(C=C4)OCO5,Active,100,,,High,333.68,class = 0
265,377708173,9368465,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC4=C(S3)CCC4,Active,100,,,High,>1000,class = 0
266,160844145,70701468,CNC1=C(N=C(S1)C2=CC=CC3=CC=CC=C32)C#N,Active,100,,,High,268,class = 0
267,377656179,139106,C1=CC=C(C=C1)C2=CNN=C2,Active,51,,,Moderate,51.23,class = 0
268,363677344,71304818,CC(C)CNC1=NC(=NC=C1)NCC2=CSC(=N2)C3=CC=CC=C3,Active,100,,,High,>1000,class = 0
269,164755758,71771062,COC1=C(C=C(C=C1)NC(=O)C2=CC=CN2)[S+](=O)(NC3=CC=C(C=C3)Br)[O-],Active,100,,,High,>1000,class = 0
270,363677371,21081761,C1=CN(C(=O)C(=C1)C(=O)NC2=CC(=C(C=C2)OC3=C4C=CNC4=NC=C3)F)C5=CC=C(C=C5)F,Inactive,9,,,Low,9.36,class = 1
271,384568834,11175137,C1CNCCC1(C2=CC=C(C=C2)C3=CNN=C3)C4=CC=C(C=C4)Cl,Inactive,4,,,Low,3.6,class = 1
272,384568905,11978790,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,Active,100,,,High,152.65,class = 0
273,384568948,46215815,C[C@@H]1CC[C@@H](CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5,Active,26,,,Moderate,26.05,class = 0
274,384568967,9934347,CNC(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCOCC4)OC,Active,100,,,High,145.14,class = 0
275,384568981,676352,C1=CC=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)NCC4=CC=CC=C4,Active,100,,,High,190.14,class = 0
276,384569018,135565082,CN1C(=NC=N1)[C@@H]2[C@H](NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,Active,46,,,Moderate,46.17,class = 0
277,312523666,118796328,CC1=CC(=NC(=C1)NC(=S)N2CCN(CC2)CC3=CC=C(C=C3)C(F)(F)F)C,Active,100,,,High,>1000,class = 0
278,384569024,71533725,COC1=NC(=NC=C1C2=CC3=NC=C(C(=C3C=C2)NC4=CC(=CC(=C4)C(=O)O)OC5=CC(=CC(=C5)F)F)S(=O)(=O)NC6CC6)OC,Inactive,1,,,Low,1.2,class = 1
279,384569031,66613669,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=C(C=C2)CNC(=O)C3=CN=C4C(=C3)C=NN4)C(F)(F)F,Active,100,,,High,361.97,class = 0
280,363677885,1474853,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)OC4=CC=CC=C4)OC,Active,100,,,High,981.09,class = 0
281,363677940,16195554,C1=CC=C(C=C1)C2=C/C(=C\C3=CC=C(O3)C4=CC=C(C=C4)[N+](=O)[O-])/C(=O)N2C5=CC=C(C=C5)C(=O)O,Active,38,,,Moderate,37.5,class = 0
282,363678001,5311096,C1CC(CCC1CCN2CCC3=C(C2)C=CC(=C3)C#N)NC(=O)C4=CC=NC5=CC=CC=C45,Active,84,,,Moderate,83.9,class = 0
283,363678018,9901086,C1CN(CCN1)C2=CN=CC(=N2)OCC3=CC(=CC=C3)Cl,Active,100,,,High,741.67,class = 0
284,363678023,44402523,C1=CC(=CC=C1/C=C/C(=O)NC2=C(C=C(C=C2)C3=NC4=C(O3)C=CC(=C4)CC(=O)O)F)Br,Active,100,,,High,405.46,class = 0
285,363678054,1791111,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)COC3=C(C=C(C=C3)Br)Cl)C,Active,100,,,High,>1000,class = 0
286,375814661,134791303,CC1=CC=CC=C1N(C)C2CN(C2)[S+](=O)(C3=CC=CC(=C3)C(F)(F)F)[O-],Active,100,,,High,924,class = 0
287,375813303,134788517,CC(C)C1=NC2=C(CCN(CC2)CC3=CC=C(C=C3)NC(=O)C)C(=N1)C4=CC=C(C=C4)Cl,Active,100,,,High,476.41,class = 0
288,375814614,134789541,CN(C)C(=O)C1=NC(=C2N1C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,Active,100,,,High,>1000,class = 0
289,375818081,63268833,C1=COC(=C1)C2=NC3=C(N2)C=NC=C3,Inactive,6,,,Low,5.56,class = 1
290,384569053,59473233,C1COCCN1C2=CC=C(C=C2)NC3=NC(=CN4C3=NC=C4)C5=CC6=C(C=C5)C=NN6,Active,100,,,High,>1000,class = 0
291,384569059,9810929,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)N[C@@H](CC2=CC=CC=C2)C3=NC=CS3)OC)OC)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)N(C)C,Active,100,,,High,224.15,class = 0
292,363678175,11497983,CCN(CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F)CCOP(=O)(O)O,Inactive,4,,,Low,3.64,class = 1
293,363678194,44464263,C1CC(C1)C(=O)NCCCNC2=NC(=NC=C2C3CC3)NC4=CC=CC(=C4)CN5CCOCC5,Inactive,9,,,Low,8.82,class = 1
294,363678316,11154555,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl,Active,100,,,High,349.57,class = 0
295,387065820,66552906,COC1=CC=CC(=C1)N2C(=CC(=N2)C(=O)O)C3=CC(=C(C=C3)C4CCCCC4)Cl,Active,100,,,High,401.32,class = 0
296,363679169,136959977,CN1C=C(N=C1)C2=NC=CC3=C2N=C(NC3=O)OCCCC(F)(F)F,Active,79,,,Moderate,78.65,class = 0
297,363679173,71566751,CN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)CC3=CC=C(C=C3)OC4=NC=NC(=C4)NC(=O)C5CC5)C(F)(F)F,Active,19,,,Moderate,19.33,class = 0
298,363679204,1715,COC1=CC2=C(C=C1)SCCN(C2)C(=O)CCN3CCC(CC3)CC4=CC=CC=C4,Active,100,,,High,806.84,class = 0
299,363680161,56846693,CC(C)(C1=CC(=NO1)NC(=O)NC2=CC(=CC=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(F)(F)F,Active,100,,,High,136.63,class = 0
300,363680214,52936849,CCOC(=O)C1=CN=C2N1C=C(C=C2)C3=CC(=CN=C3)NS(=O)(=O)C4=CC=CC=C4,Active,100,,,High,545.57,class = 0
301,363680625,24857242,C1=CC=C(C(=C1)CNCC2=CC=C(C=C2)C3=C4C=CNC4=NC=C3)F,Active,100,,,High,266.12,class = 0
302,363680986,90407809,CN1C=NC(=C1C2=CC=C(C=C2)OC)C3=NC=CC(=C3)C(=O)O,Inactive,3,,,Low,2.67,class = 1
303,375808060,71693092,CC1=C[C@H]([C@@H](C[C@H]1CC2=NC3=C(N2)C=CC(=N3)OC)C(C)C)CNCC4=CC=CC=C4O,Active,100,,,High,738.55,class = 0
304,375808579,40780407,CC1=C(C(=NN1C2=CC=C(C=C2)OC)C)[C@H]3C[C@@H](C=C3)NCC4=CC(=CC=C4)Cl,Active,100,,,High,772.9,class = 0
305,375807600,26742466,CC1=NC(=CC(=N1)[C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)NC4CCCCC4)C5=CC=CO5,Inactive,5,,,Low,4.96,class = 1
306,375808655,75411313,C1CCC(C1)C(=O)NC[C@H]2CN3C(=NC=C3C4=CC=C(C=C4)Cl)CO2,Active,19,,,Moderate,19.4,class = 0
307,375809859,75367182,CC1=CC=C(C=C1)CN2CCOC[C@H]2C3=NC=C(N3)C4=CC(=CC=C4)F,Active,100,,,High,994.81,class = 0
308,375809101,26743389,CC1=C(C(=NN1C2=CC=C(C=C2)OC)C)[C@H]3C[C@@H](C=C3)NCC4=CC=C(C=C4)N(C)C,Active,100,,,High,>1000,class = 0
309,375807228,40776995,CCC(CC)C1=NC(=NC(=C1)[C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)C)C4=CC=NC=C4,Active,15,,,Moderate,14.92,class = 0
310,375809655,45360472,CC1=NC(=CC(=N1)[C@H]2CN3CC[C@H]2C[C@@H]3CNC4CCOCC4)C5=CC=CC=C5,Active,13,,,Moderate,12.95,class = 0
311,375802635,38030950,CC1=C[C@H]([C@@H](C[C@H]1CC2=NN=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])C(C)C)CNCC4=CN=CC=C4,Active,100,,,High,983.68,class = 0
312,375805435,38030234,CC1=C[C@H]([C@@H](C[C@H]1CC2=NN=C(O2)C3=CC=CC=C3)C(C)C)CNCCNC(=O)C,Active,26,,,Moderate,25.77,class = 0
