PUBCHEM_SID,PUBCHEM_CID,SMILES_ISO,PUBCHEM_ACTIVITY_OUTCOME,Phenotype (0-10 = Low Permeability; 10-100 = Moderate Permeability; >100 = High Permeability),Permeability,Compound QC
375809655,45360472,CC1=NC(=CC(=N1)[C@H]2CN3CC[C@H]2C[C@@H]3CNC4CCOCC4)C5=CC=CC=C5,Active,High,369.23,QC'ed NCATS
375806667,26745074,CC1=CC(=CC=C1)C2=NOC(=N2)[C@@H]3CC4=C(CN3C(=O)CC(C)(C)CC(=O)O)NC=N4,Active,Moderate,34.18,QC'ed NCATS
375798497,28961069,CC1=CC(=CC=C1)C2=NOC(=N2)[C@@H]3CC4=C(CN3)NC=N4,Active,High,343.35,QC'ed NCATS
375800550,51136636,COC1=C(C=C2C(=C1)CCN=C2C[C@H]3CN(CC[C@H]3CC(=O)O)S(=O)(=O)C4=CC=CC(=C4)C#N)OC,Inactive,Low,3.25,QC'ed NCATS
377020432,49878590,CCOC(=O)N1CCN(CC1)C(=O)CN2C(=O)C3=C(S2)N=C(C=C3C)C,Active,Moderate,47.06,QC'ed NCATS
363681088,133053891,C1CCN(CC1)CCOC(C2=CC=CC=C2Cl)C3=CC4=NC=CC(=C4N3)C(=O)O,Inactive,Low,1,QC'ed NCATS
375885383,134805851,COC1=NC=C(C=N1)C2=NNC3=C2CC(=O)N(C3)C4=CC=CC=C4,Active,Moderate,33.52,QC'ed NCATS
375890710,134811177,CC(=O)N1CCC(CC1)NC(=O)C2=C3C=CNC3=CC(=N2)C4=CC=CC=C4,Active,High,287.65,QC'ed NCATS
375884871,134805340,C1=CC=C(C=C1)C2=NC(=C3C=CNC3=C2)C(=O)NCCCN4C=CN=C4,Active,High,597.15,QC'ed NCATS
375890601,134811068,C1CC(=O)NC1CNC(=O)C2=C3C=CNC3=CC(=N2)C4=CC=CC=C4,Active,High,123.01,QC'ed NCATS
375889120,134809587,CC1=CC(=C(C(=O)N1)CNC(=O)C2=C3C=CN(C3=CC(=N2)C4=CC=C(C=C4)CN(C)C)C(C)C)C,Inconclusive,N/F,N/F,QC'ed NCATS
375890796,134811263,CN1CCC(CC1=O)CNC(=O)C2=C3C=CN(C3=CC(=N2)C4=CC=CC=C4OC)C,Active,High,317.24,QC'ed NCATS
375890820,134811287,CN1C=CC2=C(N=C(C=C21)C3=CC=CC(=C3)CO)C(=O)NCCC(=O)N,Active,Moderate,29.95,QC'ed NCATS
375884537,134805006,CC1=C(C(=NO1)C)C2=CC(=CN3C2=CN=C3)C4=CC5=C(CNC5=O)C=C4,Active,High,143.05,QC'ed NCATS
375888878,134809345,CC(=O)NC1=CC=CC(=C1)C2=NC(=C3C=CN(C3=C2)CCOC)C4=CCOCC4,Active,High,463.72,QC'ed NCATS
375887945,134808413,COC1=C(C=C(C=C1)C2=NN3C(=NC=C3NC4=CC=C(C=C4)C(=O)N)C=C2)OC,Active,High,148.81,QC'ed NCATS
375886802,134807270,CNC(=O)C1=CC=CC(=C1)C2=CN=C(C3=C2CCO3)NC4=CC=CC(=C4)C(F)(F)F,Active,Moderate,58.92,QC'ed NCATS
375889090,134809557,COCCNC(=O)C1=CC=C(C=C1)C2=NC=C3N2C=C(N=C3)C4=CC(=CC=C4)F,Active,High,405.01,QC'ed NCATS
375890154,134810621,CC(=O)NCCNC(=O)C1=CC=C(C=C1)C2=NC=C3N2C=C(N=C3)C4=CC(=CC=C4)F,Active,Moderate,40.62,QC'ed NCATS
375888127,134808595,C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCCO)C=N2,Active,Moderate,32.01,QC'ed NCATS
375890180,134810647,C1CC(=O)N(C1)CCCNC(=O)C2=CC=C(C=C2)C3=NC=C4N3C=C(N=C4)C5=CC=CC=C5,Active,High,291.84,QC'ed NCATS
375890192,134810659,C1=CC=C(C=C1)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)O)C=N2,Active,Moderate,10.66,QC'ed NCATS
375890158,134810625,C1CS(=O)(=O)CCN1C(=O)C2=CC=C(C=C2)C3=NC=C4N3C=C(N=C4)C5=CC=CC=C5,Active,Moderate,45.64,QC'ed NCATS
375890183,134810650,CNC(=O)C1CCN(CC1)C(=O)C2=CC=C(C=C2)C3=NC=C4N3C=C(N=C4)C5=CC=CC=C5,Active,Moderate,15.38,QC'ed NCATS
375889102,134809569,C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCC5=CN=CN5)C=N2,Inactive,Low,1,QC'ed NCATS
363681089,133053881,C1CC(CCC1COC(C2=CC=CC=C2Cl)C3=CC4=NC=CC(=C4N3)C(=O)O)(F)F,Active,Moderate,75.56,QC'ed NCATS
375887454,134807922,CC1=C(C(=NO1)C)C2=NC(=C3C=C(N(C3=C2)C)C4=CC=CC=C4)C5=CC(=CC=C5)NC(=O)C,Active,High,454.59,QC'ed NCATS
375886014,134806482,CC1=CC2=C(N=C(C=C2N1C)C3=C(ON=C3C)C)C4=CN(N=C4)C,Active,High,549.02,QC'ed NCATS
375886913,134807381,CC1=CC2=C(N=C(C=C2N1CCN(C)C)C3=C(ON=C3C)C)C4=CC(=C(C=C4)OC)OC,Active,High,>1000,QC'ed NCATS
375887100,134807568,CN1C2=C(N=C(C(=C2)C3=CC(=CC=C3)Cl)C4=CC=CC=C4)N=C1C(=O)NCCN(C)C,Inconclusive,N/F,N/F,QC'ed NCATS
375886568,134807036,CN1CCC(CC1)NC(=O)C2=NC3=C(N2C)C=C(C(=N3)C4=CC=CC=C4)C5=CC(=NC=C5)OC,Active,High,>1000,QC'ed NCATS
375890623,134811090,CC1=NC=CC(=C1)C2=CC3=C(N=C2C4=CC=CC=C4)N=C(N3C)C(=O)NCCN(C)C,Active,High,319.94,QC'ed NCATS
375888956,134809423,CN1C2=C(N=C(C(=C2)C3=CC(=CC=C3)F)C4=CC=CC=C4)N=C1C(=O)NCCN(C)C,Inconclusive,N/F,N/F,QC'ed NCATS
375888711,134809178,CN1CC2=C(N=C(C=C2C1=O)N3CCOCC3)C4=CC=CC=C4OC(F)(F)F,Active,High,>1000,QC'ed NCATS
363681092,133053816,C=CC(=O)N1CCCN(CC1)C2=NC(=NC(=C2)NCCC(=O)O)C3=CC=CC=N3,Inconclusive,N/F,N/F,QC'ed NCATS
363681094,133053821,CN1CCCC1CCOC(C2=CC=CC=C2Cl)C3=CC4=NC=CC(=C4N3)C(=O)O,Inactive,Low,1.1,QC'ed NCATS
363681097,52934180,CC1=NC2=C(N1)C=C(C=C2)C(=O)N3CCC4(CC3)CC5=C(C(=O)C4)N(N=C5)C(C)C,Active,Moderate,16.46,QC'ed NCATS
375861543,16764671,C1C(C2=C(NC1=O)N=C(S2)N)C3=C(C(=CC=C3)F)F,Inactive,Low,9.86,QC'ed NCATS
375859571,16764686,C1C(C2=C(NC1=O)N=C(S2)N)C3=CC=CC=C3,Active,Moderate,19.29,QC'ed NCATS
375863579,16764695,C1C(C2=C(NC1=O)N=C(S2)N)C3=C(C=C(C=C3)F)F,Active,High,180.75,QC'ed NCATS
375882835,91762950,C1CN(CC2=C1N=C(N2)C3=CC=C(C=C3)C(=O)N)C(=O)CN4CCOCC4,Inactive,Low,2.6,QC'ed NCATS
375858577,91903472,C1C(CN(C1=O)C2=NNC3=C2C=CC(=C3)Br)C(=O)NC4=CC=CC=C4,Inactive,Low,1.1,QC'ed NCATS
375852584,91913176,CC1=CC(=NC=C1)NC(=O)C2CC(=O)N(C2)C3=NNC4=C3C=CC(=C4)Br,Active,High,563,QC'ed NCATS
375842535,71705501,C1COCCC1CNC(=O)C2CC(=O)N(C2)C3=NNC4=C3C=CC(=C4)Br,Active,Moderate,16.12,QC'ed NCATS
375852557,71707181,C1COCCN1CCNC(=O)C2CC(=O)N(C2)C3=NNC4=C3C=CC(=C4)Br,Inactive,Low,1.8,QC'ed NCATS
375854622,71829154,C1CC(C2=C(C1)C3=C(N2)C=CC(=C3)Cl)NC(=O)C4=CC=NC=C4,Inactive,Low,7.6,QC'ed NCATS
375856586,71828999,C1CC(C2=C(C1)C3=C(N2)C=CC(=C3)Cl)NC(=O)CNC(=O)C4=NC=CN=C4,Active,High,>1000,QC'ed NCATS
375871810,56715543,C1CC(CN(C1)C2=NC(=NC3=C2CCC3)C4=CC=CC=C4)C(=O)N5CCC(CC5)N,Active,High,474.64,QC'ed NCATS
375842572,90488048,C1=CC(=CC=C1C2=NC=C(C(=N2)C3=CC=NC=C3)C(=O)O)F,Inactive,Low,1,QC'ed NCATS
375883320,56881339,CC1=NC=C2CNCCC2=C1CNC(=O)CN3C=NC4=CC=CC=C4C3=O,Active,Moderate,59.64,QC'ed NCATS
375845721,91904528,CCOC1=CC(=O)N2CCCCC2=C1C(=O)NC3=CC(=C(C=C3OC)Cl)OC,Active,Moderate,96.61,QC'ed NCATS
375879261,56886853,C1CN(CCN(C1)C2=CC=C(C=C2)F)CC3[C@H]4[C@@H]3CNC4,Active,High,196.25,QC'ed NCATS
375879869,70726807,C1CC(CN(C1)C(=O)N)C(=O)N2CCCN(CC2)C3=CC=C(C=C3)F,Active,High,110.89,QC'ed NCATS
375873079,56893258,C1C[C@@H](C[C@H]1NC2=NC=CC(=N2)C3=CC=NC=C3)NC(=O)CNC(=O)N,Inactive,Low,1,QC'ed NCATS
375847597,91904901,C1CN(CC1NC(=O)C2=CC=CC=C2)C3=NNC(=C3)C4=CC=C(C=C4)Cl,Active,High,705.56,QC'ed NCATS
375865736,91653956,C[C@H]1CN(C[C@@H]1C2=NC(=NO2)C3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)F,Active,High,>1000,QC'ed NCATS
375857652,87051999,C[C@H]1CN(C[C@@H]1C2=NC(=NO2)C3=CC=CC=C3)C(=O)NC4=C(C=C(C=C4)F)F,Active,High,>1000,QC'ed NCATS
375841555,87052427,C1CN(CC2=C1C(=O)N3C(=N2)C=CN3)C(=O)C4=CC5=C(C=C4)N=CC=C5,Active,High,101.47,QC'ed NCATS
375867775,53183866,CC1=NC=C(C=C1)C(=O)N2CCC3=C(C2)N=C4C=C(NN4C3=O)C5=CC=CC=C5,Inactive,Low,1,QC'ed NCATS
375866379,87052512,C1CN(CC2=C1C(=O)N3C(=N2)C=C(N3)C4=CC=CC=C4)C(=O)CCC(=O)N5CC(=O)NC6=CC=CC=C65,Inactive,Low,1,QC'ed NCATS
375866399,136665503,C1CN(CCC2=C1C(=O)NC(=N2)N3CCOCC3)CC4=C(C=CC(=C4)Cl)F,Active,High,>1000,QC'ed NCATS
375854302,136665504,C1CN(CCC2=C1C(=O)NC(=N2)N3CCOCC3)CC4=C(C=C(C=C4)Cl)F,Active,High,>1000,QC'ed NCATS
375856522,91916716,C1CN(CCC1CC2=NC(=NO2)C3=NC=CN=C3)C(=O)C4=CC5=C(C=C4)OCO5,Active,Moderate,71.94,QC'ed NCATS
375866622,136326488,CC(C)CC(C)NC(=O)C1=NOC(=N1)C2=CC=CNC2=O,Active,Moderate,16.55,QC'ed NCATS
375847692,136665409,COC1=C(C=C(C=C1)NC(=O)C2=CC(=NN2)C3=CC=CN3)OC,Active,High,119.6,QC'ed NCATS
375839683,91891807,CC1=NOC(=N1)C2=CN(N=N2)C3CCN(CC3)C(=O)C4=CC=C(C=C4)OC(F)(F)F,Active,Moderate,10.23,QC'ed NCATS
375861246,110197656,CC1=C(C(=NO1)C)S(=O)(=O)N2CCC3(CC2)C4=C(CCN3)C5=C(N4)C=CC(=C5)OC,Active,Moderate,79,QC'ed NCATS
375863122,110202952,CC1=NOC(=N1)[C@@H]2CN(C[C@H]2CO)C(=O)C3=NN(C4=CC=CC=C43)C,Active,Moderate,84.2,QC'ed NCATS
375851432,124050542,CC1=NOC(=N1)[C@@H]2CN(C[C@H]2COC)C(=O)C3=NNC4=CC=CC=C43,Active,Moderate,66.78,QC'ed NCATS
375869503,91911828,COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=CC(=O)N(N=C3)CC4CC4,Inconclusive,N/F,N/F,QC'ed NCATS
375849247,46089231,CC1=CC(=CC(=C1)C2=NC3=C(O2)C=C(C=C3)C4=C(C(=C(C=C4)OC)OC)OC)C,Inactive,Low,1,QC'ed NCATS
375847183,46089123,COC1=C(C(=C(C=C1)C2=CC3=C(C=C2)N=C(O3)C4=C(C(=CC(=C4)F)F)F)OC)OC,Inconclusive,N/F,N/F,QC'ed NCATS
375849213,46089060,COC1=C(C(=C(C=C1)C2=CC3=C(C=C2)N=C(O3)C4=C(C=CC(=C4)F)F)OC)OC,Inconclusive,N/F,N/F,QC'ed NCATS
375857125,46088963,CC1=CC=CC=C1C2=NC3=C(O2)C=C(C=C3)C4=C(C(=C(C=C4)OC)OC)OC,Inactive,Low,1,QC'ed NCATS
363681098,68289010,C[C@@H](C1=CN2C=CN=C2C=C1)N3C4=NC(=CN=C4N=N3)C5=CN(N=C5)C,Active,Moderate,40.71,QC'ed NCATS
377020474,66610682,CC(C)CN(CC(=O)N(CCCN1CCCC1=O)CC(=O)N)C(=O)CNCCC2=CC=CC=C2F,Active,Moderate,11.6,QC'ed NCATS
375817816,137299399,C1CCC(CC1)CN2CCCC(C2)C3=NN(C(=O)N3)C4=CC=C(C=C4)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
375817885,137299434,COC1=CC=C(C=C1)C(=O)N2CCCC(C2)C3=NN(C(=O)N3)C4=CC=C(C=C4)OC,Active,High,598.6,QC'ed NCATS
375817944,137299464,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)C(=O)C4=CC=CC=C4,Inactive,Low,1,QC'ed NCATS
375817968,137299474,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)C(=O)C4CC4,Active,High,112.61,QC'ed NCATS
375817790,137299390,C1CN(CCC1C2=NN(C(=O)N2)C3=CC=C(C=C3)F)C(=O)C4=CC=CC=C4,Active,High,679,QC'ed NCATS
375817855,137299421,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCN(CC3)C(=O)C4=CC=CC=C4,Active,High,330.79,QC'ed NCATS
375817948,137299467,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCN(CC3)C(=O)C4CC4,Active,High,147.87,QC'ed NCATS
375820357,137291230,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)CC4CCCCC4,Active,High,>1000,QC'ed NCATS
375820358,137291231,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)C(=O)CC4=CC=CC=N4,Active,High,105.62,QC'ed NCATS
375818693,137299526,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)C(=O)NC4=CC=CC=C4,Active,High,359.71,QC'ed NCATS
375819054,137299537,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)C(=O)C4=CC=CC=C4F,Active,High,475.5,QC'ed NCATS
377020256,5319693,CC/C=C\CC1C(CCC1=O)CC(=O)OC,Inconclusive,N/F,N/F,QC'ed NCATS
363681104,71245288,CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,Active,High,499.2,QC'ed NCATS
363681105,25214468,C1CC1NC2=CC(=CC3=NC(=NN23)NC(=O)C4=CN=CC=C4)C(F)(F)F,Active,High,197.09,QC'ed NCATS
363681106,89683805,CC(C)(CNC1=NC(=NC(=N1)C2=NC(=CC=C2)C(F)(F)F)NC3=CC(=NC=C3)C(F)(F)F)O,Inconclusive,N/F,N/F,QC'ed NCATS
363681115,91864701,CC1=CC(=CC(=C1OC)C)NC(=O)C2=NN(C3=C2CN(C[C@]3(C)C(=O)N)C(=O)C4=CC=CN4)CC5=CC=C(C=C5)F,Inconclusive,N/F,N/F,QC'ed NCATS
384569252,117072550,CCCS(=O)(=O)C1=NC(=CC(=N1)NC2CC2)C3=CC4=C(C=C3)N(C=C4)C5CC(NC(C5)(C)C)(C)C,Active,High,107.19,QC'ed NCATS
384569253,117072549,CN1C=C(C2=C(C1=O)C=NC=C2)C3=C(C=C(C(=C3)OC)CN(C)C)OC,Active,Moderate,28.89,QC'ed NCATS
377020458,91666658,CC1=C(C(=NO1)C)C2=CC(=C(C=C2)C3=CC(=C(S3)NC(=O)N)C(=O)N)O[C@H]4CCNC4,Inactive,Low,1,QC'ed NCATS
363681120,131601,CCOP(=O)(CC1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)Br)C#N)OCC,Active,High,254.8,QC'ed NCATS
363681129,119081409,CC(C)C1=CC(=NN1)C(=O)N2CC[C@H](C2)NC(=O)C3CC3,Inactive,Low,1.3,QC'ed NCATS
375821251,134798709,C1CN(CCC1C(=O)N2CCC(CC2)N3CC4=CC=CC=C4C3=O)C(=O)C5=CC=CC=C5,Active,Moderate,24.89,QC'ed NCATS
363681142,44181686,C[C@H](C1=NN=C2N1C=C(C=C2F)C3=CN(N=C3)C)N4C=CC5=C(C4=O)C=C(C=N5)OCCOC,Active,Moderate,15.14,QC'ed NCATS
363681143,68165256,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC,Active,High,265.72,QC'ed NCATS
363681153,500902,C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O)O,Inactive,Low,9.97,QC'ed NCATS
363681167,76685059,CCN1C(=NC(=N1)C2CCN(CC2)C(=O)CCO)C3=CN=C(C(=N3)C4=NN=C(O4)C(C)(C)C)N,Active,High,188.38,QC'ed NCATS
384569273,121277860,C[C@@H]1CC(=O)NC2=CC=CC(=C2N1)C3=CN(N=C3)C(C)(C)C,Active,Moderate,56.49,QC'ed NCATS
363681191,46871935,C1CCC(C1)[C@H]2[C@H]3CCC4=C(C3=NN2C5=CC(=C(C=C5)C#N)Cl)C=CC(=C4)C(=O)O,Active,High,272.07,QC'ed NCATS
363681210,71766156,C1CCN(C1)C(=O)[C@@H]2CCCN(C2)C3=NC4=C(C=C3)NC(=N4)C5(CC5)N6C=C(C=N6)Cl,Active,High,225.34,QC'ed NCATS
363681319,14328920,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4C[C@@H]5C[C@H]4CN5)F)C(=O)O,Inactive,Low,1,QC'ed NCATS
363681340,133053887,C1CCN(CC1)CCN2C3=CC=CC=C3N=C2C4=CC5=NC=CC(=C5S4)C(=O)O,Inactive,Low,4,QC'ed NCATS
375824542,134798083,CC(C)CNC(=O)C1=CN2C=C(SC2=N1)C3=CC=CC=C3,Inconclusive,N/F,N/F,QC'ed NCATS
384569280,78426698,CC(C)C1=C(N=C2C(=CNN2C1=O)C#N)C3=CC=CC=C3,Inactive,Low,9.91,QC'ed NCATS
375823137,134797228,CCN1CCN(CC1)C(=O)C2=NN3C=NN=C3C(=C2)C4=CC=C(C=C4)F,Active,High,158.74,QC'ed NCATS
384569302,81689696,C[C@@]1(C2=C(C=C(C=C2)C3=CNN=C3)C(=O)N1)C4=NC=NC=C4F,Active,Moderate,52.13,QC'ed NCATS
375825070,134796226,C1CC(N(C1)C(=O)C2=CC=CC(=C2)C3=CC=CC=N3)C(=O)NC4CC4,Active,Moderate,10.97,QC'ed NCATS
375828433,134801672,CC1=CC=CC=C1C(=O)NC2CCN(CC2)C3=NN4C(=NN=C4C5CC5)C=C3,Active,Moderate,97.75,QC'ed NCATS
384569319,6456014,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C5=CC=CC=C5N=C4C3=C2)CCNC(C)C)O,Inactive,Low,1,QC'ed NCATS
384569347,53262401,C1CC(C1)(C2=CC=C(C=C2)N3C4=C(C=CC(=N4)C5=CC=CC=C5)N=C3C6=C(N=CC=C6)N)N,Inconclusive,N/F,N/F,QC'ed NCATS
384569357,123132228,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,Active,Moderate,16.73,QC'ed NCATS
384569392,72165228,C1CN(C[C@@H]1O)C2=C(C=C(C=N2)C(=O)NC3=CC=C(C=C3)OC(F)(F)Cl)C4=CC=NN4,Active,Moderate,14.64,QC'ed NCATS
384569506,118196485,CC1=C(N(N=N1)C)C2=CC3=C(C4=C(N3[C@@H](C5CCOCC5)C6=CC=CC=C6)C=C(C=C4)C(C)(C)O)N=C2,Active,High,745.52,QC'ed NCATS
172113103,69304814,C1=CC=C2C(=C1)/C(=C/C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2,Active,Moderate,48.97,QC'ed NCATS
104224463,49852873,COC1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=CC=CC(=C3)C(F)(F)F,Active,High,416.61,QC'ed NCATS
384569059,9810929,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)N[C@@H](CC2=CC=CC=C2)C3=NC=CS3)OC)OC)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)N(C)C,Active,High,341.06,QC'ed NCATS
124398554,53257105,CC1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=CC(=CC(=C3)Cl)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
174007436,10607,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,Active,High,224.28,QC'ed NCATS
363678031,10429706,CC1=CN2C(=C(C=C(C2=N1)C(=O)NCC3CCN(CC3)CC(C)C)Cl)N,Active,High,605.7,QC'ed NCATS
99367891,46907675,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=C4C5=CC=CC=C5SC4=CC=C3,Active,High,363.79,QC'ed NCATS
363677922,5328135,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=C(C=CC=C3Cl)Cl)NC(=O)NC(C)(C)C,Active,High,>1000,QC'ed NCATS
375877636,136665264,COC1=CC=C(C=C1)C2=CC=C(O2)C(=O)NC3CC(C3)C4=CC(=O)NC(=N4)N,Active,Moderate,20.95,QC'ed NCATS
24271591,15990861,CCOC1=CC=C(C=C1)/C=C/C2=NC3=CC=CC=C3N2S(=O)(=O)C4=CC(=CC=C4)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
124878916,11972255,C[C@]12C[C@H]([C@@H]([C@@]1(CC(=O)[C@@]3([C@H]2CC=C4[C@H]3C=C(C(=O)C4(C)C)O)C)C)[C@](C)(C(=O)/C=C\C(C)(C)O)O)O,Active,High,184.18,QC'ed NCATS
856199,657574,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)C)N3CCN(CC3)C4=CC=CC=C4,Active,High,>1000,QC'ed NCATS
137275946,57519511,CCC[C@@H](C1=CC=CC=C1)NC(=O)C(=CC2=NC(=CC=C2)Br)C#N,Active,High,>1000,QC'ed NCATS
375800456,40777002,CCC(CC)C1=NC(=NC(=C1)[C@H]2CN3CC[C@H]2C[C@@H]3CNS(=O)(=O)C4=CC=CS4)C5=CC=NC=C5,Active,High,>1000,QC'ed NCATS
174006528,10366136,CC1(COC1)COC2=CC3=C(C=C2)N(C=N3)C4=NC5=C(C=CC=C5N6CCC(CC6)N)C=C4,Active,Moderate,25.24,QC'ed NCATS
172113107,2365267,C1=CC=C2C(=C1)/C(=C\C3=CC=C(C=C3)C(=O)O)/C(=O)N2,Inactive,Low,3.96,QC'ed NCATS
24275989,3317547,CCCCN1C=NC2=C1C=CC(=C2)NC(=O)C3=CC(=C(C(=C3)OC)OC)OC,Active,High,692.78,QC'ed NCATS
124398520,53257109,CC1=CC(=NC(=C1)NC(=S)N2CCN(CC2)C3=CC(=CC=C3)OC(F)F)C,Active,High,851.68,QC'ed NCATS
161003935,70789472,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC=C(C=C4)S(=O)(=O)C)C,Inconclusive,N/F,N/F,QC'ed NCATS
160844139,70701466,CNC1=C(N=C(O1)C2=CC=CC3=CC=CC=C32)C(=O)OC,Active,High,>1000,QC'ed NCATS
377690240,3116398,C1=CC=C(C(=C1)C2=NC3=C(O2)C=CC(=C3)NC(=O)C4=CC=C(O4)[N+](=O)[O-])F,Active,Moderate,38.38,QC'ed NCATS
161004460,70789701,COC1=C(C=CN=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,Inactive,Low,3.6,QC'ed NCATS
124877929,3246346,CN1CCC2=CC(=C(C3=C2[C@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@@H]6C7=CC(=C(C=C7CCN6C)OC)O3)O)O)OC,Active,High,326.75,QC'ed NCATS
375852621,71705536,C1C(CN(C1=O)C2=NNC3=C2C=CC(=C3)Br)C(=O)NCCC4=CC=CC=N4,Inactive,Low,1,QC'ed NCATS
377712953,42654957,C1C(C2=C(NC1=O)N=C(S2)N)C3=CC(=C(C=C3)F)F,Active,High,264.7,QC'ed NCATS
375807600,26742466,CC1=NC(=CC(=N1)[C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)NC4CCCCC4)C5=CC=CO5,Active,High,474.95,QC'ed NCATS
24397051,16019052,CC1=C(C=C(C=C1)N2C(=O)C3=C(C4=CC=CC=C4O3)N(C2=O)CC(=O)NC5=CC(=C(C=C5)F)Cl)C,Inconclusive,N/F,N/F,QC'ed NCATS
24270649,15990034,C1=CC=C2C(=C1)C(=C(C2=O)C3=CC=C(C=C3)C(F)(F)F)NC4=CC=C(C=C4)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
162010091,71296019,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=C(C=CC=C4F)F,Active,High,>1000,QC'ed NCATS
160844100,70701358,COC1=CC=CC(=C1O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=CC=C(C=C3)C4CCNCC4,Inactive,Low,1.79,QC'ed NCATS
161004693,70789724,CCOC1=C(C=C(C=C1)CCNC(=O)C2=CC3=C(N2CC4=CC=CC(=N4)C)C=CN=C3)OCC,Inactive,Low,7.02,QC'ed NCATS
161004704,70789733,CCOC1=C(C=C(C=C1)CCNC(=O)C2=CC3=C(N2CC4=CC=CC(=N4)C)C=NC=C3)OCC,Inactive,Low,3.77,QC'ed NCATS
24415990,16034349,CC1=CC=C(C=C1)/C=C/C2=NC3=CC=CC=C3N2S(=O)(=O)C4=CC=C(C=C4)Br,Inconclusive,N/F,N/F,QC'ed NCATS
124953113,54677920,CC1=CC=C(N1)C(=O)OC2C(C(OC(C2OC)(C)C)OC3=C(C4=C(C=C3)C(=C(C(=O)O4)NC(=O)C5=CC(=C(C=C5)O)CC=C(C)C)O)Cl)O,Inactive,Low,7.04,QC'ed NCATS
174006553,166558,CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)CC2=C(C=C(C=C2C(C)C)C(C)C)C(C)C,Inconclusive,N/F,N/F,QC'ed NCATS
4264091,805276,CC(C)C(=O)NC1=CC=CC(=C1)NC(=O)C2=CC3=CC=CC=C3O2,Active,High,873.8,QC'ed NCATS
24401950,16023551,C1=CC(=CC=C1CNC2=C3C(=NOC3=NC=N2)C4=CC=C(C=C4)F)F,Active,High,>1000,QC'ed NCATS
89650120,36649951,CC(=O)C1=CC=C(C=C1)N2CCN(CC2)S(=O)(=O)C3=C(C=C4C(=C3)CC(=O)N4)Cl,Active,High,558.06,QC'ed NCATS
104224796,49852897,CC1=CC(=NC(=C1)NC(=S)N2CCN(CC2)C3=CC=CC(=N3)C(F)(F)F)C,Active,High,588.55,QC'ed NCATS
160844123,70701461,C1C(CO1)NC2=C(N=C(O2)C3=CC=CC4=CC=CC=C43)C#N,Active,High,>1000,QC'ed NCATS
